id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup
4,15766172,Chiemenam,716,Spain,Male,33.0,5,0.0,2,1.0,1.0,15068.83,0,3
7,15669611,Chukwuebuka,678,Spain,Male,37.0,1,138476.41,1,1.0,0.0,106851.6,0,3
12,15717962,Rossi,759,Spain,Male,71.0,9,0.0,1,1.0,1.0,93081.87,0,7
20,15781496,Udegbulam,773,Spain,Male,35.0,9,0.0,2,0.0,1.0,87549.36,0,3
25,15671137,Sazonova,703,Spain,Male,39.0,9,0.0,1,1.0,0.0,131363.57,1,3
26,15665180,Vasilieva,616,Spain,Male,31.0,3,136789.14,2,0.0,1.0,59346.4,0,3
28,15794849,Chidubem,785,Spain,Male,41.0,4,0.0,1,1.0,0.0,170968.99,1,4
32,15678626,Okonkwo,797,Spain,Female,55.0,0,99208.46,2,0.0,1.0,62402.38,1,5
36,15635330,Walker,611,Spain,Male,45.0,0,0.0,2,1.0,0.0,82403.08,0,4
47,15800806,Johnston,685,Spain,Male,31.0,10,122449.31,2,1.0,1.0,180769.55,0,3
54,15673772,Nkemakolam,753,Spain,Male,37.0,8,0.0,1,1.0,1.0,168816.35,0,3
56,15780088,Porter,647,Spain,Male,34.0,9,132439.99,1,1.0,0.0,177747.72,0,3
67,15706232,Hs?,648,Spain,Male,56.0,0,110939.3,1,1.0,1.0,92927.42,1,5
68,15726354,Walker,599,Spain,Male,35.0,8,0.0,2,1.0,1.0,59816.41,0,3
73,15593772,Shao,721,Spain,Male,30.0,9,0.0,2,1.0,1.0,177747.05,0,3
77,15660688,King,701,Spain,Female,35.0,2,0.0,2,0.0,0.0,170996.86,0,3
80,15762882,Hsia,640,Spain,Male,50.0,1,0.0,2,0.0,1.0,13906.34,0,5
81,15692931,Palermo,711,Spain,Male,36.0,1,139422.39,1,1.0,0.0,44965.44,0,3
84,15777797,Nnaemeka,637,Spain,Male,64.0,1,0.0,1,0.0,1.0,181490.42,0,6
90,15690175,Fanucci,592,Spain,Male,32.0,7,0.0,2,1.0,1.0,140941.47,0,3
96,15671139,Shih,659,Spain,Female,39.0,0,107042.74,1,1.0,0.0,102284.2,1,3
97,15576935,Ampt,743,Spain,Male,43.0,2,161807.18,2,0.0,1.0,93228.86,0,4
99,15673599,Williamson,618,Spain,Male,35.0,5,133476.09,1,0.0,1.0,154843.4,0,3
114,15603683,Ofodile,796,Spain,Female,23.0,3,146584.19,2,0.0,0.0,125445.8,1,2
117,15754574,P'eng,471,Spain,Male,28.0,1,0.0,1,1.0,0.0,95890.96,0,2
119,15673342,Ts'ui,706,Spain,Male,30.0,5,0.0,2,1.0,1.0,80425.65,0,3
125,15655298,Calabresi,630,Spain,Female,38.0,8,0.0,2,1.0,0.0,76614.41,0,3
129,15674727,Yashina,682,Spain,Male,34.0,5,102025.32,1,0.0,0.0,96542.0,0,3
131,15652677,Istomin,644,Spain,Male,43.0,9,89800.14,1,0.0,0.0,162699.8,0,4
142,15811970,Chineze,649,Spain,Female,43.0,8,91711.66,1,1.0,1.0,146411.25,1,4
150,15622454,Ts'ai,667,Spain,Male,39.0,3,0.0,2,1.0,0.0,143622.31,0,3
154,15732704,Okwuadigbo,678,Spain,Female,25.0,3,0.0,2,0.0,1.0,125794.83,0,2
156,15572767,Ch'ang,850,Spain,Female,36.0,8,0.0,2,1.0,1.0,71865.31,0,3
161,15576743,P'eng,715,Spain,Female,46.0,2,0.0,1,1.0,0.0,116471.26,1,4
174,15594456,Liao,740,Spain,Female,33.0,4,0.0,2,1.0,1.0,85016.64,0,3
177,15812518,Palerma,694,Spain,Female,37.0,8,0.0,2,0.0,0.0,128918.42,0,3
179,15654495,Nock,721,Spain,Female,34.0,1,0.0,2,1.0,1.0,183492.9,0,3
182,15671973,Kesteven,674,Spain,Male,51.0,0,0.0,4,0.0,1.0,145562.4,1,5
184,15754072,Yobanna,663,Spain,Female,33.0,2,0.0,2,1.0,0.0,138547.22,0,3
195,15810390,Lombardi,636,Spain,Female,71.0,7,0.0,2,1.0,1.0,73585.18,1,7
196,15771457,Gannon,635,Spain,Female,37.0,9,0.0,1,1.0,0.0,26389.62,0,3
206,15780056,Hs?,660,Spain,Male,33.0,4,0.0,1,1.0,0.0,29664.45,0,3
213,15716984,Palermo,695,Spain,Female,56.0,5,0.0,3,0.0,0.0,85185.44,1,5
220,15778142,Padovano,662,Spain,Male,35.0,2,0.0,2,1.0,1.0,54949.32,0,3
232,15629787,Mazzi,595,Spain,Female,41.0,3,86973.65,1,1.0,1.0,129955.54,0,4
235,15730076,Udobata,711,Spain,Female,45.0,9,91285.22,1,1.0,0.0,62825.03,0,4
244,15672875,Owen,553,Spain,Male,35.0,3,0.0,2,1.0,1.0,48505.1,0,3
257,15730360,Genovesi,641,Spain,Male,41.0,9,0.0,2,1.0,0.0,53311.29,0,4
264,15613216,Cameron,523,Spain,Male,39.0,5,0.0,1,1.0,1.0,92455.96,0,3
277,15585892,Mazzi,679,Spain,Female,35.0,8,0.0,1,0.0,0.0,164453.98,1,3
280,15575410,Nwoye,699,Spain,Female,59.0,2,131607.33,1,1.0,1.0,171645.31,1,5
282,15809847,Mancini,732,Spain,Male,37.0,1,0.0,1,0.0,1.0,150784.26,0,3
284,15659364,Yobanna,727,Spain,Male,33.0,10,127822.93,1,1.0,1.0,62703.5,0,3
293,15643396,Chukwuemeka,756,Spain,Female,28.0,2,109528.14,1,1.0,0.0,157822.94,1,2
295,15671243,Tsui,652,Spain,Female,40.0,7,100471.34,1,0.0,1.0,107890.69,0,4
298,15704770,Chin,520,Spain,Male,33.0,3,0.0,2,1.0,1.0,147545.65,0,3
299,15764170,Pinto,647,Spain,Male,44.0,6,93960.35,1,1.0,0.0,36579.53,0,4
300,15641662,Enticknap,470,Spain,Male,39.0,5,117468.67,1,0.0,0.0,63705.9,0,3
302,15668886,Chidubem,532,Spain,Male,24.0,8,142755.25,1,0.0,1.0,34231.48,0,2
